,Quantifiers Numerals,Tense Agreement,Reference Word,Numbers Agreement,Speech Acts,Subject Verb Agreement,Modal Verbs Expressions,Noun Verb Collocation
CAN_L2,0.14497470573586485,0.2758299079197154,0.10963696138629075,0.09988248797679448,0.14512120012343643,0.07340003515754373,0.05234632328268836,0.06595817939594956
CAN_Mono,0.7247848545105,0.0267171480995817,0.1875287896746144,0.4888839919310601,0.20267602101255497,0.31832313396830547,0.12329496009238672,0.029426355856950123
THA_L2,0.049861418248560364,0.012650745625820086,0.09705212153295048,0.130104330290731,0.1877138067599079,0.05984506637783218,0.11976246949833369,0.12118622701790288
THA_Mono,9.226827522442038,0.5700844763128268,0.222266854631511,0.26477605847899344,0.39855316957575593,0.9131713674601161,0.179362805770202,0.18956962700679614
JPN_L2,0.04449304480117997,0.08198064968509998,0.2648819672587289,0.1900759138702099,0.21173518962318633,0.0872317481066957,0.05293428525194875,0.07284998546644497
JPN_Mono,1.954942215388575,0.5139483692099112,0.27301281576542313,0.3308046501560899,0.519571403470106,0.8740499568446841,0.4524645111182968,0.23235565022092497
KOR_L2,0.03310274096087689,0.019542368759151975,0.009511511333037008,0.05094943292529292,0.10866138031287795,0.14823038286187992,0.13143128990337002,0.18320623792770285
KOR_Mono,0.6543256910659426,0.29586951437061093,0.10827125237615494,0.25856977885887267,0.24679345996900193,0.6046121808595597,0.06904957674718337,0.29536106439262133
MAL_L2,0.006852119978909433,0.035912218128526414,0.026918266653102,0.09202387153842397,0.0764869646598802,0.026431484177374183,0.06514400665960485,0.0961865258042924
MAL_Mono,1.0390558086054753,0.32091668764067305,0.10907668733381568,0.3410933183707381,0.2788073720296116,0.47625702583702,0.09747031363256528,0.0797385932131228
MAN_L2,0.027260405640483158,0.038428314304029605,0.06574331957765953,0.03752002634498511,0.1611938566556642,0.02325280620185187,0.08225555664181489,0.0599391528273467
MAN_Mono,1.3816071172405104,0.27738163110257846,0.09989202890411819,0.3747916299868758,0.31861142749280563,0.7414075883312736,0.2123014914502824,0.10772272391696763
ENG_L2,0.9839358912805425,0.06514704252023555,0.10937645129967041,0.18643364810008756,0.3236013089461325,0.18791613879084926,0.07485297069710399,0.07852000523205974
ENG_Mono,0.9839358912805425,0.06514704252023555,0.10937645129967041,0.18643364810008756,0.3236013089461325,0.18791613879084926,0.07485297069710399,0.07852000523205974
URD_L2,0.07941444823507754,0.07332871062850829,0.062410441135683586,0.049845317080664336,0.04305866679689932,0.04614899714296104,0.12554602966298747,0.04401955667169977
URD_Mono,0.918338785848497,0.14541890383628764,0.19285996319194995,0.2815679122008469,0.15751923470815957,0.3860360522640958,0.11531326061108065,0.046382092682663606
